Issue Type,Summary,Project,Priority,Labels,Epic Name,Epic Link,Description
Task,Create `menu_categories` table with display order,X1,Medium,database backend migrations,,EPIC-DB,"Create `menu_categories` table with display order. Design and apply a normalized relational structure with constraints for integrity. Provide reversible migrations and seed fixtures. Document API contracts, add telemetry, and include acceptance tests."
Task,Create `menu_items` table with pricing and status flags,X1,Medium,database backend migrations,,EPIC-DB,"Create `menu_items` table with pricing and status flags. Design and apply a normalized relational structure with constraints for integrity. Provide reversible migrations and seed fixtures. Document API contracts, add telemetry, and include acceptance tests."
Task,Create `menu_item_images` table with CDN URL and alt text,X1,Medium,database backend migrations,,EPIC-DB,"Create `menu_item_images` table with CDN URL and alt text. Design and apply a normalized relational structure with constraints for integrity. Provide reversible migrations and seed fixtures. Document API contracts, add telemetry, and include acceptance tests."
Task,Create `toppings` table with price deltas and allergens,X1,Medium,database backend migrations,,EPIC-DB,"Create `toppings` table with price deltas and allergens. Design and apply a normalized relational structure with constraints for integrity. Provide reversible migrations and seed fixtures. Document API contracts, add telemetry, and include acceptance tests."
Task,Create `menu_item_toppings` junction table with quantity units,X1,Medium,database backend migrations,,EPIC-DB,"Create `menu_item_toppings` junction table with quantity units. Design and apply a normalized relational structure with constraints for integrity. Provide reversible migrations and seed fixtures. Document API contracts, add telemetry, and include acceptance tests."
Task,Create `options_sets` and `options_values` tables for sugar/ice levels,X1,Medium,database backend migrations,,EPIC-DB,"Create `options_sets` and `options_values` tables for sugar/ice levels. Design and apply a normalized relational structure with constraints for integrity. Provide reversible migrations and seed fixtures. Document API contracts, add telemetry, and include acceptance tests."
Task,"Create `inventory_items` table with SKU, unit, reorder point",X1,High,database backend migrations,,EPIC-DB,"Create `inventory_items` table with SKU, unit, reorder point. Design and apply a normalized relational structure with constraints for integrity. Provide reversible migrations and seed fixtures. Document API contracts, add telemetry, and include acceptance tests."
Task,Create `menu_item_ingredients` table with quantity per serving,X1,Medium,database backend migrations,,EPIC-DB,"Create `menu_item_ingredients` table with quantity per serving. Design and apply a normalized relational structure with constraints for integrity. Provide reversible migrations and seed fixtures. Document API contracts, add telemetry, and include acceptance tests."
Task,Create `orders` table with status enum and channel (POS/Kiosk),X1,Medium,database backend migrations,,EPIC-DB,"Create `orders` table with status enum and channel (POS/Kiosk). Design and apply a normalized relational structure with constraints for integrity. Provide reversible migrations and seed fixtures. Document API contracts, add telemetry, and include acceptance tests."
Task,"Create `order_items` table with qty, unit price, JSON modifiers",X1,Medium,database backend migrations,,EPIC-DB,"Create `order_items` table with qty, unit price, JSON modifiers. Design and apply a normalized relational structure with constraints for integrity. Provide reversible migrations and seed fixtures. Document API contracts, add telemetry, and include acceptance tests."
Task,"Create `payments` table with method, amount, tx_ref",X1,High,database backend migrations,,EPIC-DB,"Create `payments` table with method, amount, tx_ref. Design and apply a normalized relational structure with constraints for integrity. Provide reversible migrations and seed fixtures. Document API contracts, add telemetry, and include acceptance tests."
Task,Create `kitchen_tickets` table with station and timestamps,X1,Medium,database backend migrations,,EPIC-DB,"Create `kitchen_tickets` table with station and timestamps. Design and apply a normalized relational structure with constraints for integrity. Provide reversible migrations and seed fixtures. Document API contracts, add telemetry, and include acceptance tests."
Task,Create `ab_tests` and `ab_variants` tables for price experiments,X1,Medium,database backend migrations,,EPIC-DB,"Create `ab_tests` and `ab_variants` tables for price experiments. Design and apply a normalized relational structure with constraints for integrity. Provide reversible migrations and seed fixtures. Document API contracts, add telemetry, and include acceptance tests."
Task,Create `weather_snapshots` table keyed by order_id,X1,Medium,database backend migrations,,EPIC-DB,"Create `weather_snapshots` table keyed by order_id. Design and apply a normalized relational structure with constraints for integrity. Provide reversible migrations and seed fixtures. Document API contracts, add telemetry, and include acceptance tests."
Task,"Create `audit_logs` table with actor, verb, entity, payload",X1,Medium,database backend migrations,,EPIC-DB,"Create `audit_logs` table with actor, verb, entity, payload. Design and apply a normalized relational structure with constraints for integrity. Provide reversible migrations and seed fixtures. Document API contracts, add telemetry, and include acceptance tests."
Task,"Add indices for `orders(created_at, status)` and `order_items(order_id)`",X1,High,database backend migrations,,EPIC-DB,"Add indices for `orders(created_at, status)` and `order_items(order_id)`. Design and apply a normalized relational structure with constraints for integrity. Provide reversible migrations and seed fixtures. Document API contracts, add telemetry, and include acceptance tests."
Task,Add FK constraints and cascading rules for all relationships,X1,High,database backend migrations,,EPIC-DB,"Add FK constraints and cascading rules for all relationships. Design and apply a normalized relational structure with constraints for integrity. Provide reversible migrations and seed fixtures. Document API contracts, add telemetry, and include acceptance tests."
Task,Write initial migration set and rollback scripts,X1,High,database backend migrations,,EPIC-DB,"Write initial migration set and rollback scripts. Design and apply a normalized relational structure with constraints for integrity. Provide reversible migrations and seed fixtures. Document API contracts, add telemetry, and include acceptance tests."
Task,"Seed data from Project 2 CSVs for categories, items, inventory",X1,High,database backend migrations,,EPIC-DB,"Seed data from Project 2 CSVs for categories, items, inventory. Design and apply a normalized relational structure with constraints for integrity. Provide reversible migrations and seed fixtures. Document API contracts, add telemetry, and include acceptance tests."
Task,Define Prisma schema (or equivalent) for all tables,X1,Medium,backend dal orm database,,EPIC-DAL,"Define Prisma schema (or equivalent) for all tables. Expose a typed data layer that abstracts SQL and enforces validation and pagination patterns. Document API contracts, add telemetry, and include acceptance tests."
Task,Generate typed clients and validate enum mappings,X1,Medium,backend dal orm database,,EPIC-DAL,"Generate typed clients and validate enum mappings. Expose a typed data layer that abstracts SQL and enforces validation and pagination patterns. Document API contracts, add telemetry, and include acceptance tests."
Task,Implement repository for users with pagination and search,X1,Medium,backend dal orm database,,EPIC-DAL,"Implement repository for users with pagination and search. Expose a typed data layer that abstracts SQL and enforces validation and pagination patterns. Document API contracts, add telemetry, and include acceptance tests."
Task,Implement repository for menu with category join helpers,X1,Medium,backend dal orm database,,EPIC-DAL,"Implement repository for menu with category join helpers. Expose a typed data layer that abstracts SQL and enforces validation and pagination patterns. Document API contracts, add telemetry, and include acceptance tests."
Task,Implement repository for inventory with low-stock query,X1,High,backend dal orm database,,EPIC-DAL,"Implement repository for inventory with low-stock query. Expose a typed data layer that abstracts SQL and enforces validation and pagination patterns. Document API contracts, add telemetry, and include acceptance tests."
Task,Implement repository for orders with eager-loaded items,X1,Medium,backend dal orm database,,EPIC-DAL,"Implement repository for orders with eager-loaded items. Expose a typed data layer that abstracts SQL and enforces validation and pagination patterns. Document API contracts, add telemetry, and include acceptance tests."
Task,Implement repository for payments with sum-by-day,X1,High,backend dal orm database,,EPIC-DAL,"Implement repository for payments with sum-by-day. Expose a typed data layer that abstracts SQL and enforces validation and pagination patterns. Document API contracts, add telemetry, and include acceptance tests."
Task,Implement repository for A/B tests with active variant lookup,X1,Medium,backend dal orm database,,EPIC-DAL,"Implement repository for A/B tests with active variant lookup. Expose a typed data layer that abstracts SQL and enforces validation and pagination patterns. Document API contracts, add telemetry, and include acceptance tests."
Task,Implement repository for audit logs with filter by actor/date,X1,Medium,backend dal orm database,,EPIC-DAL,"Implement repository for audit logs with filter by actor/date. Expose a typed data layer that abstracts SQL and enforces validation and pagination patterns. Document API contracts, add telemetry, and include acceptance tests."
Task,Add DB health check endpoint and migration status probe,X1,High,backend dal orm database,,EPIC-DAL,"Add DB health check endpoint and migration status probe. Expose a typed data layer that abstracts SQL and enforces validation and pagination patterns. Document API contracts, add telemetry, and include acceptance tests."
Task,Implement OAuth 2.0 login via Google Accounts,X1,Highest,backend auth security,,EPIC-AUTH,"Implement OAuth 2.0 login via Google Accounts. Provide secure authentication and authorization with auditable events. Protect routes and sessions across the stack. Document API contracts, add telemetry, and include acceptance tests."
Task,Issue JWT access and refresh tokens with role claims,X1,Highest,backend auth security,,EPIC-AUTH,"Issue JWT access and refresh tokens with role claims. Provide secure authentication and authorization with auditable events. Protect routes and sessions across the stack. Document API contracts, add telemetry, and include acceptance tests."
Task,Add token refresh endpoint with rotation and revocation list,X1,Medium,backend auth security,,EPIC-AUTH,"Add token refresh endpoint with rotation and revocation list. Provide secure authentication and authorization with auditable events. Protect routes and sessions across the stack. Document API contracts, add telemetry, and include acceptance tests."
Task,Build RBAC middleware for route-level role enforcement,X1,Highest,backend auth security,,EPIC-AUTH,"Build RBAC middleware for route-level role enforcement. Provide secure authentication and authorization with auditable events. Protect routes and sessions across the stack. Document API contracts, add telemetry, and include acceptance tests."
Task,Implement session termination and logout audit logging,X1,Medium,backend auth security,,EPIC-AUTH,"Implement session termination and logout audit logging. Provide secure authentication and authorization with auditable events. Protect routes and sessions across the stack. Document API contracts, add telemetry, and include acceptance tests."
Task,Add admin endpoint to assign roles to users,X1,Medium,backend auth security,,EPIC-AUTH,"Add admin endpoint to assign roles to users. Provide secure authentication and authorization with auditable events. Protect routes and sessions across the stack. Document API contracts, add telemetry, and include acceptance tests."
Task,Implement brute-force login detection and cooldown,X1,Medium,backend auth security,,EPIC-AUTH,"Implement brute-force login detection and cooldown. Provide secure authentication and authorization with auditable events. Protect routes and sessions across the stack. Document API contracts, add telemetry, and include acceptance tests."
Task,Add CSRF protection for cookie-based token delivery,X1,Highest,backend auth security,,EPIC-AUTH,"Add CSRF protection for cookie-based token delivery. Provide secure authentication and authorization with auditable events. Protect routes and sessions across the stack. Document API contracts, add telemetry, and include acceptance tests."
Task,Create “whoami” endpoint returning sanitized profile,X1,Medium,backend auth security,,EPIC-AUTH,"Create “whoami” endpoint returning sanitized profile. Provide secure authentication and authorization with auditable events. Protect routes and sessions across the stack. Document API contracts, add telemetry, and include acceptance tests."
Task,Write auth rate limits and error response contract,X1,High,backend auth security,,EPIC-AUTH,"Write auth rate limits and error response contract. Provide secure authentication and authorization with auditable events. Protect routes and sessions across the stack. Document API contracts, add telemetry, and include acceptance tests."
Task,GET categories with item counts and display order,X1,Medium,backend menu api,,EPIC-MENU,"GET categories with item counts and display order. Deliver CRUD and query endpoints for categories, items, options, allergens, and availability with cache controls. Document API contracts, add telemetry, and include acceptance tests."
Task,"GET menu items with filters by category, text, active",X1,High,backend menu api,,EPIC-MENU,"GET menu items with filters by category, text, active. Deliver CRUD and query endpoints for categories, items, options, allergens, and availability with cache controls. Document API contracts, add telemetry, and include acceptance tests."
Task,POST create menu item with validation and audit log,X1,Medium,backend menu api,,EPIC-MENU,"POST create menu item with validation and audit log. Deliver CRUD and query endpoints for categories, items, options, allergens, and availability with cache controls. Document API contracts, add telemetry, and include acceptance tests."
Task,"PUT update menu item price, status, descriptions",X1,Medium,backend menu api,,EPIC-MENU,"PUT update menu item price, status, descriptions. Deliver CRUD and query endpoints for categories, items, options, allergens, and availability with cache controls. Document API contracts, add telemetry, and include acceptance tests."
Task,DELETE soft-delete menu item with cascade guards,X1,Medium,backend menu api,,EPIC-MENU,"DELETE soft-delete menu item with cascade guards. Deliver CRUD and query endpoints for categories, items, options, allergens, and availability with cache controls. Document API contracts, add telemetry, and include acceptance tests."
Task,PUT assign toppings to menu item with price delta,X1,Medium,backend menu api,,EPIC-MENU,"PUT assign toppings to menu item with price delta. Deliver CRUD and query endpoints for categories, items, options, allergens, and availability with cache controls. Document API contracts, add telemetry, and include acceptance tests."
Task,PUT assign options set (sugar/ice) to menu item,X1,Medium,backend menu api,,EPIC-MENU,"PUT assign options set (sugar/ice) to menu item. Deliver CRUD and query endpoints for categories, items, options, allergens, and availability with cache controls. Document API contracts, add telemetry, and include acceptance tests."
Task,POST upload menu image and persist CDN URL,X1,Medium,backend menu api,,EPIC-MENU,"POST upload menu image and persist CDN URL. Deliver CRUD and query endpoints for categories, items, options, allergens, and availability with cache controls. Document API contracts, add telemetry, and include acceptance tests."
Task,GET allergens matrix by menu item,X1,Medium,backend menu api,,EPIC-MENU,"GET allergens matrix by menu item. Deliver CRUD and query endpoints for categories, items, options, allergens, and availability with cache controls. Document API contracts, add telemetry, and include acceptance tests."
Task,GET active A/B price for menu item by variant,X1,Medium,backend menu api,,EPIC-MENU,"GET active A/B price for menu item by variant. Deliver CRUD and query endpoints for categories, items, options, allergens, and availability with cache controls. Document API contracts, add telemetry, and include acceptance tests."
Task,PATCH 86 (out-of-stock) status on item or topping,X1,Medium,backend menu api,,EPIC-MENU,"PATCH 86 (out-of-stock) status on item or topping. Deliver CRUD and query endpoints for categories, items, options, allergens, and availability with cache controls. Document API contracts, add telemetry, and include acceptance tests."
Task,Webhook to invalidate CDN cache on menu change,X1,Medium,backend menu api,,EPIC-MENU,"Webhook to invalidate CDN cache on menu change. Deliver CRUD and query endpoints for categories, items, options, allergens, and availability with cache controls. Document API contracts, add telemetry, and include acceptance tests."
Task,"GET inventory items with on-hand, unit, reorder point",X1,High,backend inventory api,,EPIC-INV,"GET inventory items with on-hand, unit, reorder point. Track stock movements and compute availability in real time to prevent overselling and reduce waste. Document API contracts, add telemetry, and include acceptance tests."
Task,POST receive inventory transaction (receiving),X1,High,backend inventory api,,EPIC-INV,"POST receive inventory transaction (receiving). Track stock movements and compute availability in real time to prevent overselling and reduce waste. Document API contracts, add telemetry, and include acceptance tests."
Task,POST consume inventory for order items,X1,High,backend inventory api,,EPIC-INV,"POST consume inventory for order items. Track stock movements and compute availability in real time to prevent overselling and reduce waste. Document API contracts, add telemetry, and include acceptance tests."
Task,POST adjust inventory with reason codes,X1,High,backend inventory api,,EPIC-INV,"POST adjust inventory with reason codes. Track stock movements and compute availability in real time to prevent overselling and reduce waste. Document API contracts, add telemetry, and include acceptance tests."
Task,GET low-stock alerts with threshold override,X1,High,backend inventory api,,EPIC-INV,"GET low-stock alerts with threshold override. Track stock movements and compute availability in real time to prevent overselling and reduce waste. Document API contracts, add telemetry, and include acceptance tests."
Task,GET usage by menu item for date range,X1,Medium,backend inventory api,,EPIC-INV,"GET usage by menu item for date range. Track stock movements and compute availability in real time to prevent overselling and reduce waste. Document API contracts, add telemetry, and include acceptance tests."
Task,PUT update reorder point and supplier metadata,X1,Medium,backend inventory api,,EPIC-INV,"PUT update reorder point and supplier metadata. Track stock movements and compute availability in real time to prevent overselling and reduce waste. Document API contracts, add telemetry, and include acceptance tests."
Task,POST waste transaction with photo evidence URL,X1,Medium,backend inventory api,,EPIC-INV,"POST waste transaction with photo evidence URL. Track stock movements and compute availability in real time to prevent overselling and reduce waste. Document API contracts, add telemetry, and include acceptance tests."
Task,GET stock ledger for an inventory item,X1,High,backend inventory api,,EPIC-INV,"GET stock ledger for an inventory item. Track stock movements and compute availability in real time to prevent overselling and reduce waste. Document API contracts, add telemetry, and include acceptance tests."
Task,Nightly job to recompute servings remaining per item,X1,Medium,backend inventory api,,EPIC-INV,"Nightly job to recompute servings remaining per item. Track stock movements and compute availability in real time to prevent overselling and reduce waste. Document API contracts, add telemetry, and include acceptance tests."
Task,Define order state machine and transitions API,X1,Highest,backend orders api,,EPIC-ORDERS,"Define order state machine and transitions API. Implement the order lifecycle with pricing, modifiers, and domain events for downstream systems. Document API contracts, add telemetry, and include acceptance tests."
Task,POST create order draft with channel metadata,X1,Medium,backend orders api,,EPIC-ORDERS,"POST create order draft with channel metadata. Implement the order lifecycle with pricing, modifiers, and domain events for downstream systems. Document API contracts, add telemetry, and include acceptance tests."
Task,"POST add order item with size, sugar, ice, toppings",X1,Medium,backend orders api,,EPIC-ORDERS,"POST add order item with size, sugar, ice, toppings. Implement the order lifecycle with pricing, modifiers, and domain events for downstream systems. Document API contracts, add telemetry, and include acceptance tests."
Task,PUT update order item quantity and modifiers,X1,Medium,backend orders api,,EPIC-ORDERS,"PUT update order item quantity and modifiers. Implement the order lifecycle with pricing, modifiers, and domain events for downstream systems. Document API contracts, add telemetry, and include acceptance tests."
Task,DELETE remove order item from draft,X1,Medium,backend orders api,,EPIC-ORDERS,"DELETE remove order item from draft. Implement the order lifecycle with pricing, modifiers, and domain events for downstream systems. Document API contracts, add telemetry, and include acceptance tests."
Task,"POST price calculation with tax, discounts, A/B variant",X1,High,backend orders api,,EPIC-ORDERS,"POST price calculation with tax, discounts, A/B variant. Implement the order lifecycle with pricing, modifiers, and domain events for downstream systems. Document API contracts, add telemetry, and include acceptance tests."
Task,POST finalize order and lock line items,X1,Highest,backend orders api,,EPIC-ORDERS,"POST finalize order and lock line items. Implement the order lifecycle with pricing, modifiers, and domain events for downstream systems. Document API contracts, add telemetry, and include acceptance tests."
Task,POST void order with reason and audit entry,X1,Medium,backend orders api,,EPIC-ORDERS,"POST void order with reason and audit entry. Implement the order lifecycle with pricing, modifiers, and domain events for downstream systems. Document API contracts, add telemetry, and include acceptance tests."
Task,GET order by id with nested items and payments,X1,High,backend orders api,,EPIC-ORDERS,"GET order by id with nested items and payments. Implement the order lifecycle with pricing, modifiers, and domain events for downstream systems. Document API contracts, add telemetry, and include acceptance tests."
Task,GET orders list with filters by status/date/channel,X1,Medium,backend orders api,,EPIC-ORDERS,"GET orders list with filters by status/date/channel. Implement the order lifecycle with pricing, modifiers, and domain events for downstream systems. Document API contracts, add telemetry, and include acceptance tests."
Task,POST attach weather snapshot to order on finalize,X1,Medium,backend orders api,,EPIC-ORDERS,"POST attach weather snapshot to order on finalize. Implement the order lifecycle with pricing, modifiers, and domain events for downstream systems. Document API contracts, add telemetry, and include acceptance tests."
Task,Publish `OrderPlaced` event to event bus on finalize,X1,Medium,backend orders api,,EPIC-ORDERS,"Publish `OrderPlaced` event to event bus on finalize. Implement the order lifecycle with pricing, modifiers, and domain events for downstream systems. Document API contracts, add telemetry, and include acceptance tests."
Task,Publish `OrderUpdated` event on status change,X1,Medium,backend orders api,,EPIC-ORDERS,"Publish `OrderUpdated` event on status change. Implement the order lifecycle with pricing, modifiers, and domain events for downstream systems. Document API contracts, add telemetry, and include acceptance tests."
Task,Archive completed orders older than N days job,X1,Medium,backend orders api,,EPIC-ORDERS,"Archive completed orders older than N days job. Implement the order lifecycle with pricing, modifiers, and domain events for downstream systems. Document API contracts, add telemetry, and include acceptance tests."
Task,POST record cash payment and validate totals,X1,Medium,backend payments api security,,EPIC-PAY,"POST record cash payment and validate totals. Process payments safely, support refunds, and reconcile financials with orders using idempotent APIs. Document API contracts, add telemetry, and include acceptance tests."
Task,POST simulate card payment with tokenized nonce,X1,Medium,backend payments api security,,EPIC-PAY,"POST simulate card payment with tokenized nonce. Process payments safely, support refunds, and reconcile financials with orders using idempotent APIs. Document API contracts, add telemetry, and include acceptance tests."
Task,POST refund payment with linkage to original tx,X1,High,backend payments api security,,EPIC-PAY,"POST refund payment with linkage to original tx. Process payments safely, support refunds, and reconcile financials with orders using idempotent APIs. Document API contracts, add telemetry, and include acceptance tests."
Task,GET payment summary by method and date range,X1,Medium,backend payments api security,,EPIC-PAY,"GET payment summary by method and date range. Process payments safely, support refunds, and reconcile financials with orders using idempotent APIs. Document API contracts, add telemetry, and include acceptance tests."
Task,Webhook handler for payment provider success/fail,X1,High,backend payments api security,,EPIC-PAY,"Webhook handler for payment provider success/fail. Process payments safely, support refunds, and reconcile financials with orders using idempotent APIs. Document API contracts, add telemetry, and include acceptance tests."
Task,Guard against double-capture with idempotency keys,X1,High,backend payments api security,,EPIC-PAY,"Guard against double-capture with idempotency keys. Process payments safely, support refunds, and reconcile financials with orders using idempotent APIs. Document API contracts, add telemetry, and include acceptance tests."
Task,Reconcile orders with payments nightly job,X1,High,backend payments api security,,EPIC-PAY,"Reconcile orders with payments nightly job. Process payments safely, support refunds, and reconcile financials with orders using idempotent APIs. Document API contracts, add telemetry, and include acceptance tests."
Task,Emit `PaymentReceived` event for analytics,X1,Medium,backend payments api security,,EPIC-PAY,"Emit `PaymentReceived` event for analytics. Process payments safely, support refunds, and reconcile financials with orders using idempotent APIs. Document API contracts, add telemetry, and include acceptance tests."
Task,Stand up WebSocket gateway for KDS subscribers,X1,Highest,backend realtime kds websocket,,EPIC-REALTIME,"Stand up WebSocket gateway for KDS subscribers. Push low-latency updates to kitchen displays via resilient event delivery and recovery paths. Document API contracts, add telemetry, and include acceptance tests."
Task,Define event schemas for OrderPlaced/Updated/86Changed,X1,Medium,backend realtime kds websocket,,EPIC-REALTIME,"Define event schemas for OrderPlaced/Updated/86Changed. Push low-latency updates to kitchen displays via resilient event delivery and recovery paths. Document API contracts, add telemetry, and include acceptance tests."
Task,Implement event publisher in Orders and Menu services,X1,Medium,backend realtime kds websocket,,EPIC-REALTIME,"Implement event publisher in Orders and Menu services. Push low-latency updates to kitchen displays via resilient event delivery and recovery paths. Document API contracts, add telemetry, and include acceptance tests."
Task,"Implement KDS subscription per station (Tea, Toppings)",X1,High,backend realtime kds websocket,,EPIC-REALTIME,"Implement KDS subscription per station (Tea, Toppings). Push low-latency updates to kitchen displays via resilient event delivery and recovery paths. Document API contracts, add telemetry, and include acceptance tests."
Task,Add retry and dead-letter queue for failed deliveries,X1,Medium,backend realtime kds websocket,,EPIC-REALTIME,"Add retry and dead-letter queue for failed deliveries. Push low-latency updates to kitchen displays via resilient event delivery and recovery paths. Document API contracts, add telemetry, and include acceptance tests."
Task,Provide REST fallback for KDS cold start sync,X1,Medium,backend realtime kds websocket,,EPIC-REALTIME,"Provide REST fallback for KDS cold start sync. Push low-latency updates to kitchen displays via resilient event delivery and recovery paths. Document API contracts, add telemetry, and include acceptance tests."
Task,Persist ticket display state and timestamps,X1,Medium,backend realtime kds websocket,,EPIC-REALTIME,"Persist ticket display state and timestamps. Push low-latency updates to kitchen displays via resilient event delivery and recovery paths. Document API contracts, add telemetry, and include acceptance tests."
Task,Emit `TicketAged` alerts for SLA breach,X1,Medium,backend realtime kds websocket,,EPIC-REALTIME,"Emit `TicketAged` alerts for SLA breach. Push low-latency updates to kitchen displays via resilient event delivery and recovery paths. Document API contracts, add telemetry, and include acceptance tests."
Task,Build kiosk shell with full-screen lock and idle attract,X1,Low,frontend kiosk react a11y,,EPIC-KIOSK,"Build kiosk shell with full-screen lock and idle attract. Guide customers through an accessible, multilingual self-service flow with guard rails for errors. Document API contracts, add telemetry, and include acceptance tests."
Task,Implement language selector with persisted preference,X1,Medium,frontend kiosk react a11y,,EPIC-KIOSK,"Implement language selector with persisted preference. Guide customers through an accessible, multilingual self-service flow with guard rails for errors. Document API contracts, add telemetry, and include acceptance tests."
Task,Build category grid with large targets (≥44px),X1,Medium,frontend kiosk react a11y,,EPIC-KIOSK,"Build category grid with large targets (≥44px). Guide customers through an accessible, multilingual self-service flow with guard rails for errors. Document API contracts, add telemetry, and include acceptance tests."
Task,"Build item detail with size, sugar, ice, toppings",X1,Medium,frontend kiosk react a11y,,EPIC-KIOSK,"Build item detail with size, sugar, ice, toppings. Guide customers through an accessible, multilingual self-service flow with guard rails for errors. Document API contracts, add telemetry, and include acceptance tests."
Task,Build cart review with editable line items,X1,Medium,frontend kiosk react a11y,,EPIC-KIOSK,"Build cart review with editable line items. Guide customers through an accessible, multilingual self-service flow with guard rails for errors. Document API contracts, add telemetry, and include acceptance tests."
Task,Add allergen warnings before add-to-cart,X1,Medium,frontend kiosk react a11y,,EPIC-KIOSK,"Add allergen warnings before add-to-cart. Guide customers through an accessible, multilingual self-service flow with guard rails for errors. Document API contracts, add telemetry, and include acceptance tests."
Task,Add checkout flow with order summary and confirm,X1,Medium,frontend kiosk react a11y,,EPIC-KIOSK,"Add checkout flow with order summary and confirm. Guide customers through an accessible, multilingual self-service flow with guard rails for errors. Document API contracts, add telemetry, and include acceptance tests."
Task,Integrate text-to-speech prompts for each step,X1,Medium,frontend kiosk react a11y,,EPIC-KIOSK,"Integrate text-to-speech prompts for each step. Guide customers through an accessible, multilingual self-service flow with guard rails for errors. Document API contracts, add telemetry, and include acceptance tests."
Task,Add cancel and clear-cart confirmation dialogs,X1,Medium,frontend kiosk react a11y,,EPIC-KIOSK,"Add cancel and clear-cart confirmation dialogs. Guide customers through an accessible, multilingual self-service flow with guard rails for errors. Document API contracts, add telemetry, and include acceptance tests."
Task,Implement session timeout and auto-reset to home,X1,Medium,frontend kiosk react a11y,,EPIC-KIOSK,"Implement session timeout and auto-reset to home. Guide customers through an accessible, multilingual self-service flow with guard rails for errors. Document API contracts, add telemetry, and include acceptance tests."
Task,Add QR code for e-receipt opt-in at finish,X1,Low,frontend kiosk react a11y,,EPIC-KIOSK,"Add QR code for e-receipt opt-in at finish. Guide customers through an accessible, multilingual self-service flow with guard rails for errors. Document API contracts, add telemetry, and include acceptance tests."
Task,Add offline notice and disable payment when API down,X1,Medium,frontend kiosk react a11y,,EPIC-KIOSK,"Add offline notice and disable payment when API down. Guide customers through an accessible, multilingual self-service flow with guard rails for errors. Document API contracts, add telemetry, and include acceptance tests."
