Project Key,Issue Type,Summary,Description,Epic Link,Sprint,Priority,Labels
X1,Story,Cashier dashboard: active orders,List recent/active orders with status and totals.,X1-182,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Mark order as paid,UI button triggers PATCH status=PAID; record payment method.,X1-182,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Persist payment details,Capture payment method and amount; validate totals.,X1-182,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Verify DB persistence,Confirm order and payment rows updated via API.,X1-182,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Manager home placeholders,"Tabs: Menu, Inventory, Reports; accessible nav.",X1-183,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Menu table from API,Fetch and render menu list with sort and filter.,X1-183,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Mock sales chart,Render placeholder chart from dummy endpoint.,X1-183,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Kitchen orders view,"Show orders where status IN (PREPARING, PAID).",X1-184,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Auto-refresh polling,Poll backend every 10s; debounce updates.,X1-184,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Mark as READY,PATCH order status to READY; reflect immediately.,X1-184,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Public menu board view,Large-type display of menu grouped by category.,X1-185,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Auto-refresh and clock,Refresh data every 60s; display current time.,X1-185,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Large text styling,Typography for distance legibility.,X1-185,Sprint 1,Medium,"sprint1,mvp"
X1,Story,High-contrast theme toggle,WCAG AA contrast; system pref detection; toggle control.,X1-186,Sprint 1,Medium,"sprint1,mvp"
X1,Story,"Font scaling controls (A+, A-)",Increase/decrease root font-size; remember preference.,X1-186,Sprint 1,Medium,"sprint1,mvp"
X1,Story,ARIA and semantic markup,Label controls; roles; landmarks for SR users.,X1-186,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Keyboard navigation audit,"Ensure tab order, focus rings, skip links, trap dialogs.",X1-186,Sprint 1,Medium,"sprint1,mvp"
X1,Story,WCAG 2.1 quick audit (customer view),Run axe DevTools and manual checks; log issues.,X1-186,Sprint 1,Medium,"sprint1,mvp"
X1,Story,OpenWeather integration (menu board),Fetch current conditions; display city and temp.,X1-187,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Team-choice API stub,Decide API; scaffold client and backend proxy; env key.,X1-187,Sprint 1,Medium,"sprint1,mvp"
X1,Story,API key management,Store keys in env and secrets; rotate and document.,X1-187,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Backend route unit tests,Jest tests for /menu and /orders; CI run.,X1-188,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Frontend component tests,React Testing Library for cart and login.,X1-188,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Deployment verification test,Automated ping test that fails CI on 5xx.,X1-188,Sprint 1,Medium,"sprint1,mvp"
X1,Story,README: setup and deployment,How to run locally and deploy; env var docs; URLs.,X1-189,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Sprint 1 burndown chart,Add initial burndown to docs; update daily.,X1-189,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Update product backlog status,Mark Sprint 1 tasks; ensure estimates present.,X1-189,Sprint 1,Medium,"sprint1,mvp"
